created_by,name,tourism,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,brand,contact:facebook,email,fax,internet_access,operator,phone,rooms,smoking,stars,website,wheelchair,wikidata,brand:wikidata,brand:wikipedia,fhrs:id,internet_access:fee,internet_access:operator,internet_access:ssid,name:zh,source,source:addr,amenity,addr:country,contact:twitter,payment:american_express,addr:housename,fhrs:local_authority_id,fhrs:confidence_management,fhrs:hygiene,fhrs:rating,fhrs:structural,source:postcode,check_date,old_name,fhrs:authority,contact:email,contact:fax,contact:phone,contact:website,name:full,addr:place,addr:interpolation,toilets:wheelchair,contact:instagram,contact:linkedin,air_conditioning,postal_code,entrance,cuisine,restaurant,payment:lightning,fhrs:note,name:ja,addr:suburb,alt_name,url,building,start_date,fixme,opening_hours,name:botanical,note,name:en,access,description,historic,level,loc_name,addr:floor,branch,wheelchair:description,not:addr:postcode,material,wikipedia,operator:wikidata,contact:pinterest,ref,pets_allowed,official_name,source:addr:postcode,fhrs:name,dog,old_fhrs:id,toilets,checkfirst:suggested:name,payment:credit_cards,payment:diners_club,payment:discover_card,payment:mastercard,payment:visa,source:name,parking,bar,addr:county,survey:date,note:addr:postcode,nodes,building:levels,building:levels:underground,architect,owner,atm,building:material,roof:levels,building:colour,roof:colour,roof:material,roof:shape,name:ko,building:min_level,contact:youtube,building:use,reservation,name:es,layer,levels,name:fa,addr:hamlet,old_name:1906-2013,name:pl,source:building,fhrs:inspectiondate,contact:google_plus,check_date:internet_access,designation,stairs,payment:cash,old_operator,short_name,twitter,addr:unit,source:building:levels,source:addr:housenumber,source:operator,building:architecture,building:cladding,image,dontimport:fhrs:addrline3,name:el,accommodation,food,outdoor_seating,listed_status,ref:GB:uprn,hotel,landuse,was:amenity,payment:cheque,payment:maestro,payment:visa_electron,brewery,opening_hours:kitchen,source:rooms,roof:orientation,wheelchair:description:en,opening_date,breakfast,toilets:access,building:part,facebook,instagram,guest_house,payment:contactless,construction,not:brand:wikidata,swimming_pool,beer_garden,height,ways,type,contact:vk,building:start_date
,Beaver Hotel,hotel,"POLYGON ((-0.2004114 51.4916161, -0.2002316 51.4915919, -0.2002504 51.4915325, -0.2002642 51.4914748, -0.2002758 51.4914119, -0.2004224 51.4914169, -0.2004202 51.4914694, -0.2004474 51.4914718, -0.200439 51.4915257, -0.2004089 51.4915228, -0.2003952 51.4915771, -0.200424 51.4915809, -0.2004114 51.4916161))",,57-59,,Philbeach Gardens,,,,,,,,38,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[356778623, 356778624, 356778619, 356778616, 356778611, 356778608, 356778613, 7755332935, 7755332934, 7755332933, 356778618, 7755332932, 356778623]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,St Joseph Hotel,hotel,"POLYGON ((-0.1973553 51.4930478, -0.1971956 51.4931047, -0.1970846 51.4929824, -0.1972435 51.4929252, -0.1973553 51.4930478))",,43-45,,Longridge Road,,,,,,,+44 20 7835 2010,40,,3,http://www.stjosephhotel.co.uk/index.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[356833362, 356833367, 356833371, 356833364, 356833362]",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Queens Hotel,hotel,"POLYGON ((-0.0836024 51.4156035, -0.0831986 51.4154582, -0.0829517 51.4153695, -0.083063 51.4152491, -0.0830737 51.415253, -0.0830954 51.4152296, -0.0830198 51.4152023, -0.0830359 51.4151849, -0.0830557 51.4151635, -0.0830835 51.4151735, -0.083129 51.4151234, -0.0831659 51.4151379, -0.0832162 51.415082, -0.0832274 51.4150864, -0.0832765 51.4150332, -0.0832986 51.4150412, -0.0833317 51.4150053, -0.083354 51.4149812, -0.083329 51.4149722, -0.0834356 51.414857, -0.0834482 51.4148615, -0.0834788 51.4148284, -0.0835318 51.4148474, -0.0835402 51.4148383, -0.0835605 51.4148366, -0.0835942 51.4148463, -0.0836016 51.4148604, -0.0835878 51.4148753, -0.0835609 51.4149025, -0.0836536 51.4149362, -0.0834466 51.4151596, -0.0835084 51.4151818, -0.0834745 51.4152185, -0.0834235 51.4152002, -0.083397 51.4152287, -0.0833728 51.415255, -0.0836857 51.4153676, -0.0837123 51.4153388, -0.0839473 51.4154233, -0.0839788 51.4153892, -0.0841022 51.4154336, -0.0840871 51.4154499, -0.084143 51.4154699, -0.0840257 51.4155968, -0.0838435 51.4155313, -0.0837127 51.4154842, -0.0836024 51.4156035))",London,122,SE19 2UG,Church Road,,,,,,,+44 20 8653 6622,,,,www.euroqueenshotel.com,,,,,1867,,,,,,,,,,,,,,,,,,,,Croydon,,,,,,,,,,,,,,,,,,,Upper Norwood,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[364141327, 3034368185, 3034132105, 3034132070, 3034132071, 3034132068, 3034132062, 3034132057, 3034132049, 3034132052, 3034132037, 3034132040, 3034132026, 3034132029, 3034132015, 3034132018, 7982297524, 3034131999, 3034131994, 3034131953, 3034131954, 3034131942, 3034131950, 3034131947, 3034131946, 3034131952, 3034131957, 3034131964, 3034131970, 3034131960, 3034131995, 3034132056, 3034132065, 3034132061, 3034368175, 2707952093, 3034132104, 3034132094, 3034132121, 3034132113, 3034132126, 3034132128, 2707952092, 2707952091, 3034368186, 2707952090, 364141327]",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leonardo Royal Hotel London City,hotel,"POLYGON ((-0.0768925 51.5108408, -0.0768083 51.5107007, -0.0767743 51.5105376, -0.0764931 51.5105647, -0.0764604 51.5105678, -0.0764974 51.5107198, -0.0761093 51.510754, -0.076125 51.5108298, -0.07593 51.5108457, -0.0759421 51.5108851, -0.0760802 51.5109106, -0.0765221 51.5108743, -0.0765331 51.5109275, -0.0768925 51.5108408))",London,8-14,EC3N 2BQ,Cooper's Row,Leonardo Royal Hotel,,londoncityenquiries@leonardohotels.co.uk,,,,+44 20 7863 3700,,,,https://www.leonardohotels.co.uk/hotels/london/leonardo-royal-hotel-london-city,,,,,1212025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1536019916, 3314730029, 2143782719, 5904615689, 1536019926, 1536019910, 1536019923, 8497605085, 8497605086, 8497605087, 3314730040, 3314730036, 3314730041, 1536019916]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Cleveland Hotel,hotel,"POLYGON ((-0.1830743 51.5139699, -0.1832474 51.5139154, -0.1830989 51.5137255, -0.1829238 51.5137807, -0.1830743 51.5139699))",,39-40,,Cleveland Square,,,,,,,,30,,4,https://www.thecleveland-hotel.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[366882531, 366886600, 366885459, 1105478640, 366882531]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,St Martins Lane Hotel,hotel,"POLYGON ((-0.1268132 51.5106076, -0.126738 51.5102808, -0.1257447 51.5103694, -0.1257721 51.5104885, -0.1258011 51.510486, -0.1258307 51.5104833, -0.1258641 51.510628, -0.1264563 51.5105751, -0.1264708 51.5106381, -0.1268132 51.5106076))",London,45,WC2N 4HX,St. Martin's Lane,,,,,wlan,sbe - Morgans Hotel Group,,,,,,,Q111368923,,,,,,ST-MARTINS-LANE-GUEST,,yahoo+ground sketch;local knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[370711695, 370711696, 370711699, 821344046, 7004389765, 821344060, 370711700, 370711701, 370711702, 370711695]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Royal Trafalgar Hotel,hotel,"POLYGON ((-0.1304783 51.5092533, -0.130312 51.5093116, -0.1301809 51.50936, -0.1300119 51.5094197, -0.1299909 51.5094095, -0.129841 51.5089295, -0.1302003 51.5088512, -0.1303278 51.5090257, -0.1303815 51.5091822, -0.1304203 51.5091762, -0.1304783 51.5092533))",,,,,,,,,,thistle,,,,,https://www.thistle.com/hotels/united_kingdom/london/thistle_trafalgar_square/index.html,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[370712151, 1637831257, 370712152, 1637789610, 1637789609, 370712153, 370712154, 370712155, 370712156, 370712157, 370712151]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Holiday Inn London - Kensington High St.,hotel,"POLYGON ((-0.1923899 51.498761, -0.1923078 51.4987845, -0.1921875 51.4988174, -0.192167 51.4987916, -0.1920062 51.4988391, -0.1918425 51.4988945, -0.1918624 51.4989236, -0.1917353 51.4989639, -0.1916471 51.4988646, -0.1917207 51.4988396, -0.1915039 51.4985804, -0.1914306 51.498604, -0.1913426 51.4985026, -0.1914239 51.4984758, -0.1911934 51.4982004, -0.1911636 51.4982089, -0.1911313 51.4981675, -0.1911604 51.4981538, -0.1911491 51.498142, -0.1916335 51.4979778, -0.1917111 51.4980776, -0.1915126 51.4981442, -0.1915716 51.4982137, -0.1917577 51.4981547, -0.1918329 51.4982487, -0.1916499 51.4983074, -0.191704 51.49838, -0.1920604 51.4982733, -0.1921655 51.4984338, -0.1922487 51.4985529, -0.1922882 51.4986105, -0.1923701 51.4987318, -0.1923899 51.498761))",,,,Wrights Lane,,,,,,,,706,,4,https://www.ihg.com/holidayinn/hotels/gb/en/london/lonwl/hoteldetail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[376491785, 7674542301, 7674542302, 7674542303, 4713998317, 7674542304, 7674542305, 376491818, 7674542315, 7674542314, 7674542313, 7674542312, 7674542311, 7674542310, 7674542308, 7674542309, 7674542307, 7674542306, 376508334, 1156307501, 7674542289, 7674542290, 7674542291, 7674542292, 7674542293, 376508343, 7674542294, 376491801, 7674542295, 7674542300, 1646268534, 1646268542, 376491785]",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Copthorne Tara Hotel London Kensington,hotel,"POLYGON ((-0.1915242 51.4992093, -0.191474 51.4991569, -0.191176 51.4988461, -0.1913028 51.498799, -0.1914164 51.4987567, -0.1908922 51.49821, -0.1905962 51.49832, -0.1905671 51.4982897, -0.1904742 51.4983242, -0.1904467 51.4982957, -0.1902984 51.498351, -0.1908534 51.4989272, -0.190956 51.4988889, -0.1912766 51.4992217, -0.1913382 51.4992857, -0.191359 51.4992779, -0.1913835 51.4993034, -0.1915247 51.4992508, -0.1915023 51.4992275, -0.1914641 51.4992418, -0.1914569 51.4992343, -0.1915242 51.4992093))",London,,W8 5SR,Scarsdale Place,,,,,,Millennium & Copthorne Hotels,+44 20 7937 7211,833,,,https://www.millenniumhotels.com/en/london/copthorne-tara-hotel-london-kensington/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[376496762, 6306940321, 376496776, 7675771639, 376496790, 376496807, 7674542325, 7674542324, 7674542323, 7674542322, 376496822, 376507631, 376507637, 6306940323, 376496843, 7674542317, 7674542318, 7674542319, 7674542320, 7674542321, 7674542316, 376496762]",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Club Quarters Hotel,hotel,"POLYGON ((-0.1013129 51.5141183, -0.1013326 51.5140692, -0.1014077 51.5139178, -0.1013285 51.5139099, -0.1012363 51.5139006, -0.1011917 51.5138993, -0.1011421 51.5138978, -0.1010749 51.513898, -0.1009743 51.5139015, -0.1008478 51.5139099, -0.1008102 51.5139124, -0.1008242 51.5140286, -0.1008361 51.5140283, -0.1008419 51.5140803, -0.1008541 51.5141676, -0.1008551 51.514216, -0.1008964 51.5142139, -0.1008983 51.5142376, -0.1008996 51.5142641, -0.1008622 51.5142658, -0.1008488 51.5142688, -0.1008417 51.5142759, -0.1007994 51.514402, -0.1008067 51.5144162, -0.1008266 51.5144243, -0.1009232 51.5144251, -0.1010399 51.5144262, -0.1010663 51.5144264, -0.1010938 51.5144266, -0.101101 51.5144267, -0.1011289 51.5143214, -0.1011239 51.514229, -0.1011201 51.5142028, -0.1011094 51.5141308, -0.1013129 51.5141183))",London,24,EC4M 7DR,Ludgate Hill,,,,,,,,,,,,,Q111368944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CQ,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[385707546, 7613662833, 385707533, 4379801320, 385707534, 4062923527, 7613662835, 385707535, 3340674787, 7613662837, 385707536, 385707537, 385707538, 748070874, 4378043831, 4378043844, 4378043843, 4331121755, 385707539, 4378043634, 4378043635, 385707540, 385707541, 1236791554, 7060255120, 4378043647, 4378043648, 4378043649, 4378043650, 385707543, 385707544, 4331121754, 4378043840, 4378043827, 385707546]",7,,,,,concrete,,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hilton London Kensington,hotel,"POLYGON ((-0.2149014 51.5048563, -0.2146854 51.5044199, -0.2144708 51.5044611, -0.2141189 51.5045285, -0.2139117 51.5045682, -0.2135693 51.5046339, -0.2133791 51.5046703, -0.2136038 51.5051123, -0.2149014 51.5048563))",London,179-199,W11 4UL,Holland Park Avenue,Hilton,https://www.facebook.com/HiltonKensington,,,wlan,Hilton Worldwide,,601,no,4,,,Q51824364,Q598884,,,yes,,,,,,,,,,,,,,,,,,,,reservations.kensington@hilton.com,,+44 20 7603 3355,https://www.hilton.com/en/hotels/lhrhitw-hilton-london-kensington/?WT.mc_id=zELWAKN0EMEA1HI2DMH3LocalSearch4DGGenericx6LHRHITW,,,,,,https://www.linkedin.com/company/hilton-london-kensington/,,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[392373516, 392373517, 7410095420, 7410095423, 7410095424, 7410095427, 392373526, 392373527, 392373516]",,,,,,,,,,,,,,https://www.youtube.com/channel/UCQ2S4dEaVQS5DBnDyM4bQzw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumeirah Hotel,hotel,"POLYGON ((-0.1581704 51.4986495, -0.1581651 51.4986237, -0.1581374 51.4985326, -0.1586012 51.498482, -0.1586177 51.4984802, -0.1587031 51.4984709, -0.1586999 51.4984594, -0.1589205 51.4984353, -0.1590216 51.498795, -0.159001 51.4987972, -0.1590146 51.4988455, -0.1589597 51.4988515, -0.1588311 51.4988655, -0.1586655 51.4988836, -0.1582491 51.498929, -0.1582207 51.4988282, -0.1581704 51.4986495))",,,,Cadogan Place,,,,,,,,,,,,,Q6310945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[448519281, 2641417331, 448519276, 7980758805, 7980758803, 7980758804, 5154089635, 1735018534, 1735018544, 1735018545, 448519300, 7980758801, 7980758802, 448519292, 5154089669, 4386384408, 448519281]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Holiday Inn Express,hotel,"POLYGON ((-0.0192117 51.6033009, -0.0190333 51.603191, -0.019455 51.6029268, -0.0194856 51.6029077, -0.0194657 51.6028954, -0.0195668 51.6028321, -0.0200111 51.6031057, -0.0198956 51.6031781, -0.0196495 51.6030266, -0.0192117 51.6033009))",London,5,E4 8ST,Walthamstow Avenue,Holiday Inn Express,,,,,,,,,,,,,Q5880423,en:Holiday Inn Express,514256,,,,,,FHRS Open Data,,,,,,18913,,,,,,,,,,,,,,,,,,,,,,,,,,,Chingford,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[449288496, 449288498, 4111780758, 4111780759, 4111780757, 449288500, 449288501, 449288503, 449288505, 449288496]",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Leonard Hotel,hotel,"POLYGON ((-0.1575829 51.5147885, -0.1580747 51.5147052, -0.1580226 51.5145853, -0.1580193 51.5145778, -0.1579951 51.514515, -0.1579324 51.5145258, -0.1579096 51.5144744, -0.1574744 51.5145384, -0.1575316 51.5146617, -0.1575829 51.5147885))",London,15,,Seymour Street,,,,,,,,,,4,https://www.theleonard.com/,,,,,413443,,,,,,,,GB,,,,01189/0011/0/000,10,5,3,10,FSA Food Hygiene Ratings Database,,,,,,,,,,,,,,,W1H 7JW,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[452396902, 452396901, 452396904, 2206888591, 2206888550, 2206888555, 2206888533, 2206888568, 452396905, 452396902]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Lanesborough,hotel,"POLYGON ((-0.153174 51.5025793, -0.152945 51.502631, -0.1529566 51.502651, -0.1528864 51.5026669, -0.152899 51.5026885, -0.1528309 51.5027039, -0.1528182 51.5026823, -0.1527487 51.502698, -0.1527371 51.502678, -0.1526966 51.5026871, -0.1526343 51.5027012, -0.1524833 51.5027353, -0.1523729 51.5025311, -0.1524105 51.5025264, -0.1523815 51.5024565, -0.1523438 51.5024646, -0.1522267 51.5022546, -0.1524046 51.5022182, -0.1523771 51.5021601, -0.1524733 51.5021382, -0.1524908 51.5021734, -0.1525391 51.5021586, -0.1525532 51.5021817, -0.1527222 51.5021448, -0.1527123 51.5021285, -0.152758 51.5021187, -0.1527329 51.5020818, -0.1528599 51.5020521, -0.1529842 51.5022483, -0.1530896 51.5024271, -0.1531143 51.5024213, -0.1531391 51.5024155, -0.1531707 51.5024826, -0.1532275 51.5024709, -0.1532409 51.5024992, -0.1531434 51.5025206, -0.153174 51.5025793))",,,,,,,,,,,,,,,,,Q7745444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,en:The Lanesborough,,,,,,,,,,,,,,,,,,,,,,,"[452411371, 5475561799, 5475561800, 5475561798, 5475561796, 5475561795, 5475561797, 5475561801, 5475561802, 5475561756, 5475561758, 452411374, 452411377, 452411380, 452411382, 452411384, 452411386, 452411387, 452411389, 1235851804, 1235851811, 1235851806, 1235851805, 1235851807, 1235851808, 1235851810, 1235851809, 452411392, 3735658541, 5365451975, 5365451973, 5365451971, 5365451970, 5365451969, 5365451968, 5365451967, 452411371]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intercontinental London Park Lane,hotel,"POLYGON ((-0.1509778 51.5040633, -0.1507117 51.5034702, -0.1499478 51.5036412, -0.1502654 51.5042022, -0.1504542 51.5041648, -0.1504027 51.5040686, -0.1506345 51.5040098, -0.1506972 51.5041187, -0.1509778 51.5040633))",London,1,W1J 7QY,Hamilton Place,InterContinental,,,,,,,449,,5,,yes,Q6044870,Q1825730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[452412245, 452412246, 452412247, 452412248, 452412249, 452412250, 452412251, 452412252, 452412245]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"The Biltmore Mayfair, LXR Hotels & Resorts",hotel,"POLYGON ((-0.151622 51.5107286, -0.1515442 51.5105787, -0.15152 51.5105397, -0.1514922 51.5105453, -0.1514729 51.5105133, -0.1512807 51.5105461, -0.1512695 51.5105225, -0.1510847 51.5105577, -0.1510306 51.5104427, -0.151415 51.5103734, -0.1513391 51.510225, -0.1503725 51.5104114, -0.1503923 51.5104512, -0.1504376 51.5105613, -0.1507719 51.510498, -0.1508671 51.5106998, -0.1506899 51.5107348, -0.1506075 51.5105522, -0.1504498 51.510582, -0.1506244 51.5109172, -0.1507518 51.5108934, -0.1509183 51.5108622, -0.1509214 51.5108675, -0.1512457 51.5108049, -0.1512441 51.5108016, -0.151622 51.5107286))",London,44,W1K 2HP,Grosvenor Square,LXR Hotels & Resorts,https://www.facebook.com/TheBiltmoreMayfair/,Biltmore.info@hilton.com,,wlan,,+44 20 7629 9400,308,,5,https://www.hilton.com/en/hotels/longsol-the-biltmore-mayfair-london/,,Q13529145,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.instagram.com/thebiltmoremayfair/,https://www.linkedin.com/company/the-biltmore-mayfair,,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,"en:The Biltmore Mayfair, LXR Hotels & Resorts",,,,,,,,,,,,,,,,,,,,,,,"[452417142, 2337359074, 5826414776, 5826414777, 452417144, 3494883344, 3494883342, 452417147, 452417150, 452417153, 452417156, 452417159, 5826462656, 452417161, 452417164, 452417172, 452417175, 3494883345, 3494883350, 452417177, 3494883379, 3494883375, 3494883376, 3494883369, 3494883365, 452417142]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Citadines,hotel,"POLYGON ((-0.1245464 51.5070369, -0.1250311 51.5071238, -0.1249996 51.5071985, -0.1249919 51.5072168, -0.1249848 51.5072339, -0.124885 51.5073055, -0.1247449 51.5072312, -0.1247414 51.5072451, -0.1248695 51.5073164, -0.1248048 51.5073615, -0.1244363 51.5071669, -0.1245121 51.5071102, -0.1245464 51.5070369))",,18-21,,Northumberland Avenue,,,,,,,+44 20 7766 3700,,,,http://www.citadines.com/uk/london/trafalgar_square.html,,,,,,,,,,,,,,,,,,,,,,,,Royal Commonwealth Society,,,,,,,,,,,,,WC2N 5EA,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[452514410, 452514411, 3730416883, 3730416886, 1201169788, 452514412, 1539480396, 1539480415, 1539480335, 1539480541, 452514413, 1201169426, 452514410]",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Holiday Inn Mayfair,hotel,"POLYGON ((-0.142659 51.5078109, -0.1423016 51.5074765, -0.1420094 51.5076091, -0.1421916 51.5077664, -0.1421634 51.5077797, -0.1422148 51.5078213, -0.1423154 51.5077775, -0.1423527 51.5078105, -0.1424138 51.5078647, -0.1424584 51.5079043, -0.1425584 51.5078593, -0.1426286 51.5078253, -0.142659 51.5078109))",London,3,,Berkeley Street,Holiday Inn,,,,,LRG,,,,,,,,Q2717882,en:Holiday Inn,412324,,,,,,FSA Food Hygiene Ratings Database,,,,,,00762/0003/0/000,5,5,4,10,FSA Food Hygiene Ratings Database,,,,,,,,,,,,,,,W1J 8NE,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[454212865, 454212867, 454212868, 5719074898, 5719074899, 5719074900, 5719074897, 7712929541, 7712929540, 454212869, 2210523492, 2210523490, 454212865]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May Fair Hotel,hotel,"POLYGON ((-0.1443051 51.5078728, -0.1435394 51.5082407, -0.1434956 51.5082617, -0.1440453 51.5087281, -0.1440668 51.5087343, -0.1440915 51.5087302, -0.1441378 51.5086835, -0.1441766 51.5087087, -0.1442215 51.5086679, -0.1443692 51.5085326, -0.1444456 51.5084645, -0.1444907 51.5084235, -0.1445378 51.5083807, -0.1445842 51.5083386, -0.1446258 51.5083009, -0.1445863 51.5082694, -0.1445635 51.5082512, -0.1445072 51.5082064, -0.1444701 51.5081768, -0.1443609 51.5080899, -0.1444076 51.508071, -0.1443259 51.5080107, -0.144425 51.5079658, -0.1443195 51.507884, -0.1443051 51.5078728))",London,,W1J 8LT,Stratton Street,,,,,,,+44 20 7629 7777,,,5,https://www.themayfairhotel.co.uk/,yes,Q7750722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,en:The May Fair,,,,,,,,,,,,,,,,,,,,,,,"[454212879, 5921940112, 454212881, 3468441196, 3468441198, 3468441197, 3468439091, 3468441193, 3468439088, 3468439075, 3468439068, 3468439063, 3468439057, 3468439052, 3468439049, 3468439047, 3468561256, 3468439045, 3468561241, 3468439044, 3468439043, 3468439042, 454212885, 3468561633, 454212879]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Travelodge London City Airport,hotel,"POLYGON ((0.0402014 51.5041583, 0.0402058 51.5040031, 0.0410171 51.5040007, 0.0410287 51.5041472, 0.0402014 51.5041583))",London,1,E16 2FA,Connaught Road,Travelodge,,,,wlan,,,,,,,,,Q9361374,,864045,customers,,,,,,,,,,,,,,,,,,,,,,,https://travelodge.co.uk/hotels/294/London-City-Airport-hotel,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,E16 2DB,,,,,,,,,,,,,,,,,,,,,,,,,"[461082847, 461082853, 461082857, 461082864, 461082847]",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thistle City Barbican Hotel,hotel,"POLYGON ((-0.0957047 51.5277795, -0.0956734 51.5276965, -0.0956907 51.5276934, -0.0955611 51.5273933, -0.0955439 51.5273948, -0.0955165 51.5273249, -0.0961361 51.527228, -0.0963207 51.5276864, -0.0957047 51.5277795))",London,,EC1V 8DS,Central Street,,,,,,,,,,4,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,+44 871 3769004,http://www.thistle.com/en/hotels/united_kingdom/london/thistle_city_barbican/index.html,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[463255163, 1756667076, 1756667075, 1756667049, 1756667052, 463255164, 463255165, 463255166, 463255163]",7,,,,,,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
