note,geometry,amenity,wheelchair,source,name,fixme,addr:city,addr:housenumber,addr:street,operator,historic,website,nodes,addr:housename,addr:postcode,alt_name,branch,brand,brand:wikidata,brand:wikipedia,building,building:levels,building:levels:underground,description,fhrs:id,fhrs:local_authority_id,internet_access,internet_access:fee,internet_access:operator,internet_access:ssid,old_name,tourism,architect,bar,check_date,start_date,wikidata,wikipedia,atm,contact:facebook,contact:instagram,email,opening_hours,phone,smoking,stars,nohousenumber,fhrs:confidence_management,fhrs:hygiene,fhrs:rating,fhrs:structural,loc_name,postal_code,source:postcode,rooms,source:addr,building:material,roof:levels,building:colour,roof:colour,contact:email,contact:linkedin,contact:phone,contact:website,contact:youtube,name:fr,toilets:wheelchair,addr:country,fax,roof:material,roof:shape,name:en,name:ja,survey:date,name:fa,building:architecture,layer,name:zh,source:building,owner,he:inscription_date,heritage,heritage:operator,heritage:website,historic:amenity,historic:name,listed_status,ref:he,fhrs:authority,fhrs:inspectiondate,contact:fax,addr:county,addr:suburb,ref,cuisine,food,outdoor_seating,toilets,toilets:access,official_name,disused:name,disused:tourism,fhrs:name,source:addr:postcode,building:part,contact:twitter,source:rooms,roof:orientation,wheelchair:description,not:addr:postcode,opening_date,ref:GB:uprn,breakfast,source:addr:housenumber,accommodation,indoor_seating,height,air_conditioning,construction,not:brand:wikidata,swimming_pool,ways,type,name:es
,"POLYGON ((-0.2019071 51.4939254, -0.2017945 51.4937586, -0.201697 51.4936999, -0.2025065 51.4934189, -0.2024804 51.4933386, -0.2025839 51.4933065, -0.2026829 51.493522, -0.2020705 51.4937695, -0.2021186 51.4938434, -0.2019071 51.4939254))",,yes,,Residence Inn by Marriott,,London,181-183,Warwick Road,,,https://www.marriott.com/hotels/travel/lonrk-residence-inn-london-kensington/,"[3412675257, 1581911104, 3412675254, 3412675251, 3412675250, 3412675249, 3412675252, 3412675255, 3412675256, 3412675257]",,W14 8PU,,,Marriott,,,hotel,,,,,,wlan,yes,,,,hotel,,,,,,,,,,,,+44 20 7313 3886,,3,,,,,,,,,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.0799748 51.5275302, -0.0800001 51.5275308, -0.0800985 51.5275332, -0.0800953 51.527551, -0.0800939 51.5275693, -0.0798933 51.5275717, -0.079864 51.5276956, -0.0796904 51.5276908, -0.0795443 51.527691, -0.0791038 51.5276665, -0.0790172 51.527659, -0.0790202 51.527592, -0.0790525 51.5274146, -0.0791533 51.5274125, -0.0791421 51.5273368, -0.0796434 51.5273261, -0.0796517 51.5273263, -0.0799827 51.5273313, -0.0800036 51.5273295, -0.0800378 51.5273436, -0.0800633 51.5273649, -0.0800706 51.5273804, -0.0800726 51.5273951, -0.0799802 51.5273945, -0.0798786 51.5273929, -0.0798733 51.5275286, -0.0799748 51.5275302))",,,,Courthouse Hotel Shoreditch,,London,335-337,Old Street,,,https://shoreditch.courthouse-hotel.com/,"[3441464696, 8998117181, 8655969625, 8655969627, 2393660094, 2393660081, 2393660062, 2393660099, 2393660086, 2393660095, 8998117185, 2393660056, 8998117186, 8998117187, 3441464698, 1765959554, 8655969626, 3441464699, 8998117179, 8998117178, 8998117177, 8998117176, 8998117175, 8998117184, 8998117183, 8998117182, 3441464696]",,EC1V 9LL,,,,,,hotel,3,,,991634,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1296801 51.5267354, -0.1296965 51.5267502, -0.1296277 51.5267793, -0.1294748 51.5266348, -0.1297475 51.5265261, -0.1299121 51.5266852, -0.129784 51.5267329, -0.1297532 51.5267049, -0.1296801 51.5267354))",,,,,,,,,,,,"[7520422204, 3501228853, 3501228849, 3501228847, 658652334, 3501228848, 3501228850, 7520422201, 7520422204]",,,,,,,,hotel,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.3268783 51.5806539, -0.3270358 51.5807804, -0.3271541 51.5807236, -0.3269967 51.580597, -0.3268783 51.5806539))",,,survey;Bing 2012,The Gayton Hotel,,Harrow,49,Gayton Road,,,,"[3545248391, 3545252393, 3545248392, 3545248390, 3545248391]",,HA1 2LT,,,,,,hotel,2,,,276237,,wlan,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,FHRS Open Data,,1,,,,,,,,,,,,,gabled,,,2015-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1395838 51.5056067, -0.1394848 51.505507, -0.1394267 51.5054484, -0.1392941 51.5055052, -0.1393067 51.5055178, -0.1392669 51.5055379, -0.1392138 51.5054838, -0.139183 51.5054971, -0.139147 51.5054655, -0.139136 51.5054622, -0.1392931 51.5053941, -0.1392854 51.5053869, -0.1393594 51.5053596, -0.1393663 51.5053673, -0.1395587 51.5052819, -0.1395706 51.5052908, -0.1396329 51.5053511, -0.1395213 51.5053953, -0.1395712 51.5054463, -0.1396116 51.5054318, -0.1397265 51.5055398, -0.1395838 51.5056067))",,,,Dukes Hotel,,City of Westminster,35-36,St. James's Place,,,,"[3561441323, 8088522454, 3561441324, 3561441325, 3561441326, 3561441327, 3561456009, 3561456008, 4187353712, 3561441328, 3561456011, 3561456012, 3561456013, 3561456010, 3561441329, 8097207930, 3561441330, 3561441331, 3561441332, 3561441333, 3561441334, 3561441323]",Dukes Hotel Ltd,SW1A 1NY,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1323787 51.4989002, -0.1323539 51.4990149, -0.1323415 51.4990395, -0.1324085 51.4990495, -0.1324085 51.4990654, -0.1326271 51.4990996, -0.1326271 51.499108, -0.132784 51.4991322, -0.1327886 51.4991244, -0.1328482 51.4989687, -0.1323787 51.4989002))",,,,hub by Premier Inn,,London,15,Dacre Street,,,,"[3712041550, 3712041551, 3712041554, 3712041555, 3712041556, 3712041557, 3712041558, 3712041559, 3712041562, 3712041560, 3712041550]",,SW1H 0DJ,,,Premier Inn,Q2108626,en:Premier Inn,hotel,5,,,915576,,wlan,customers,Virgin Media,Premier Inn Free Wi-Fi,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1342056 51.4987047, -0.1337979 51.498734, -0.1334613 51.4991289, -0.1341238 51.4991046, -0.1341025 51.4991692, -0.134131 51.499317, -0.1343679 51.49928, -0.1346938 51.4991773, -0.1346119 51.4987573, -0.1346616 51.4987532, -0.1346563 51.4986574, -0.1343748 51.4986749, -0.1344847 51.4991078, -0.1342815 51.4991246, -0.1342056 51.4987047))",,,,St. Ermin's Hotel,,,,Caxton Street,,,,"[3712041563, 3712041564, 3712041565, 3712041566, 2308736049, 2308736053, 3712041567, 3712041568, 3712041569, 1376582457, 1376582453, 3712041572, 3712041573, 3712041574, 3712041563]",,SW1H 0QW,,,,,,hotel,7,,,412822,,,,,,,,,,,,Q7593037,,,,,,,,,,,,,,,,,,,,brick,,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4115401 51.4804241, -0.4117266 51.4801092, -0.4112067 51.479979, -0.4109314 51.47991, -0.4109329 51.4799055, -0.4109295 51.4798968, -0.4109205 51.4798915, -0.4109078 51.4798898, -0.4108969 51.4798919, -0.4108903 51.4798957, -0.4108858 51.4799027, -0.4108894 51.4799069, -0.41077 51.4799587, -0.4107654 51.479955, -0.410756 51.4799554, -0.4107466 51.4799588, -0.4107418 51.4799633, -0.4107417 51.4799731, -0.410746 51.4799774, -0.4107533 51.4799806, -0.4107624 51.4799809, -0.4107612 51.4801799, -0.410895 51.4801797, -0.4109028 51.480271, -0.4115401 51.4804241))",,,,DoubleTree by Hilton Hotel London Heathrow Airport,,Hounslow,745,Bath Road,Hilton,,https://www.hilton.com/en/hotels/lhrcldi-doubletree-london-heathrow-airport/,"[3772031600, 3772031588, 3779184553, 3772031578, 3772031576, 3772031574, 3772031571, 3772031570, 3772031572, 3772031573, 3772031575, 3772031577, 3772031581, 3772031579, 3772031580, 3772031582, 3772031583, 3772031584, 3772031585, 3772031586, 3772031587, 3772031592, 3772031591, 3772031593, 3772031600]",,TW5 9QE,,,DoubleTree by Hilton,,,hotel,,,,,,yes,no,,,,hotel,,,,,Q30021879,,,https://www.facebook.com/doubletreebyhiltonlondonheathrow,https://www.instagram.com/doubletreehiltonlondonheathrow,lhrcl.hotel@hilton.com,,+44 20 8564 4450,no,4,,,,,,,,,200,,,,,,,,,,,,,GB,+44 20 8897 7014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4097663 51.4786608, -0.4097651 51.4786231, -0.4095094 51.4785944, -0.4095071 51.478626, -0.4096246 51.4786575, -0.4097663 51.4786608))",,,,,,,,,,,,"[3772029845, 3772029838, 3772029834, 3772029839, 3772029843, 3772029845]",,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4088782 51.478908, -0.408964 51.4787795, -0.409001 51.478724, -0.4090387 51.4786676, -0.4090557 51.4786422, -0.4091154 51.4785528, -0.409312 51.4786037, -0.4092445 51.4787177, -0.4097553 51.4788587, -0.4097663 51.4786608, -0.4099552 51.4786608, -0.4099454 51.4790511, -0.4098999 51.4790511, -0.40981 51.4791946, -0.4097156 51.4791674, -0.4097185 51.479133, -0.4097311 51.4789878, -0.4091727 51.4788391, -0.4090982 51.478965, -0.4088782 51.478908))",,,website,ibis budget London Heathrow Central,,Hounslow,700,Bath Road,Accor,,,"[3772031561, 3772029854, 3779184547, 3772029847, 3772029841, 3772029832, 3772029835, 3772029850, 3772031560, 3772029845, 3772029846, 3772031566, 3772031564, 3772031569, 3772031568, 3772031567, 3772031563, 3772031559, 3772031562, 3772031561]",Hertz House,TW5 9TW,,,,,,hotel,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,1,,,,,,,,,,,,,,,,Cranford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.430419 51.4943292, -0.4306706 51.4943932, -0.4305375 51.494596, -0.4304717 51.4945793, -0.4304487 51.4946143, -0.4305196 51.4946324, -0.4304953 51.4946694, -0.4304225 51.4946509, -0.4304071 51.4946745, -0.4298897 51.4945431, -0.4299361 51.4944723, -0.4301073 51.4945158, -0.4301179 51.4944995, -0.430283 51.4945415, -0.430314 51.4944943, -0.4297727 51.4943567, -0.4298435 51.4942488, -0.4301538 51.4943277, -0.4302391 51.4941977, -0.4301146 51.494166, -0.4301973 51.49404, -0.4308926 51.4942169, -0.4308042 51.4943516, -0.4304615 51.4942644, -0.430419 51.4943292))",,,,Mercure Hotel Heathrow,,,,,Crimson Hotels,,,"[3864902767, 3864902768, 3864902769, 3864902799, 3864902798, 3864902797, 3864902770, 3864902796, 3864902771, 3864902772, 3864902773, 3864902774, 3864902775, 3864902776, 3864902777, 3864902778, 3864902779, 3864902780, 3864902781, 3864902782, 3864902783, 3864902784, 3864902785, 3864902786, 3864902767]",,,,,,,,hotel,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.2018673 51.4271401, -0.2021171 51.4272055, -0.2021525 51.427153, -0.2020837 51.427135, -0.202096 51.4271169, -0.2019149 51.4270694, -0.2018673 51.4271401))",,,,Marple Cottage Guest House,,London,113,Woodside,,,,"[3854883883, 3895338233, 3895338232, 3895338231, 3895338230, 3895338228, 3854883883]",,SW19 7BA,,,,,,hotel,2,,,375826,,,,,,,guest_house,,,,,,,,,,,,,,,,,,,,,,,11,website,brick,1,,black,reservations@marple-cottage.co.uk,,+44 20 8947 1487,http://www.marple-cottage.co.uk/,,,,GB,,,flat_mansard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,website,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.0574885 51.5151511, -0.0572192 51.5151247, -0.0571693 51.5150728, -0.0571486 51.5148798, -0.0572117 51.5146281, -0.0574918 51.5146556, -0.057431 51.5148735, -0.0574188 51.5149255, -0.0575287 51.5149372, -0.0575207 51.5149768, -0.0574885 51.5151511))",,yes,,Holiday Inn London - Whitechapel,,London,5,Cavell Street,Holiday Inn,,,"[3987035264, 3987035266, 7782405082, 6530449112, 3987035268, 3987035269, 4005499926, 3987035270, 7782404956, 3987035265, 3987035264]",,E1 2BP,,,Holiday Inn,Q2717882,en:Holiday Inn,hotel,,,,442192,,yes,no,,HolidayInn,,hotel,,,,,Q111369001,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.0734921 51.5463145, -0.0734666 51.5464799, -0.0730218 51.546475, -0.0730269 51.5463105, -0.0734921 51.5463145))",,yes,,Premier Inn,,London,27,Dalston Lane,,,,"[4004122751, 4004122752, 5438700935, 5438700934, 4004122751]",,E8 3DF,,,Premier Inn,Q2108626,en:Premier Inn,hotel,6,,,671472,,wlan,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,brick,,maroon,,,,,http://www.premierinn.com/gb/en/hotels/england/greater-london/london/london-hackney.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.2969717 51.4514686, -0.2969149 51.451501, -0.296889 51.4514843, -0.2968201 51.4515283, -0.2968866 51.4515759, -0.2967545 51.451646, -0.2968463 51.4517119, -0.2968838 51.4516925, -0.2969555 51.4517563, -0.2968625 51.4518066, -0.2969647 51.4518843, -0.2970173 51.4518621, -0.2971017 51.4519249, -0.2968184 51.4520722, -0.2969335 51.4521627, -0.2971989 51.4520261, -0.2972617 51.4520809, -0.2974409 51.4520102, -0.2975214 51.4520821, -0.297639 51.4520335, -0.297412 51.4518117, -0.2974296 51.4518038, -0.2973057 51.4517102, -0.2973523 51.4516819, -0.2972452 51.4515994, -0.2972014 51.4516166, -0.2972043 51.4516001, -0.2971812 51.4515866, -0.2971571 51.4515858, -0.297147 51.4515772, -0.2971173 51.4515909, -0.2970086 51.4515187, -0.2970359 51.4515014, -0.2969717 51.4514686))",,,OS_OpenData_StreetView,Richmond Hill Hotel,,Richmond,146-158,Richmond Hill,,,,"[302657695, 7611907001, 7611907002, 4010773660, 4010773661, 4010773662, 7611907003, 7611907004, 7611907005, 7611907006, 7611907007, 7611907008, 4010773663, 4010773664, 4010773665, 4010773666, 4010773667, 4010773668, 4010773669, 4010773675, 4010773676, 7611906990, 7611906991, 7611906992, 4010773677, 7611906993, 7611906994, 7611906995, 7611906996, 7611906997, 7611906998, 7611906999, 7611907000, 302657695]",,TW10 6RW,,,,,,hotel,3,,,353301,,,,,,,hotel,,,,,,,,,,,,,,4,,,,,,,,,,FHRS Open Data,,1,,,,,,,,,,,,,gambrel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,along,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4906954 51.5424817, -0.4902308 51.5424156, -0.490101 51.5423999, -0.4898361 51.5423586, -0.4898843 51.5422179, -0.490218 51.5422653, -0.4907426 51.5423434, -0.4906954 51.5424817))",,,,Premier Inn,,Uxbridge,,Riverside Way,,,,"[4095572237, 4095572233, 8142494745, 8142494746, 4095572218, 4095572221, 4095572229, 4095572237]",,UB8 2YF,,,Premier Inn,Q2108626,en:Premier Inn,hotel,,,,,,wlan,customers,Virgin Media,Premier Inn Free Wi-Fi,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.0648363 51.5177868, -0.0648212 51.5177633, -0.0648119 51.5177655, -0.0647014 51.517616, -0.0646575 51.5176403, -0.0646219 51.5176745, -0.0645948 51.5177106, -0.0645783 51.5177535, -0.0646313 51.5177327, -0.0647296 51.5177701, -0.0647596 51.5178102, -0.0645615 51.5178683, -0.0643523 51.5175185, -0.0649833 51.5173361, -0.0650738 51.5174604, -0.0651377 51.5175482, -0.0651476 51.5175619, -0.0652188 51.5176654, -0.0649959 51.5177314, -0.0649884 51.517727, -0.0649308 51.5177446, -0.0649417 51.5177583, -0.0648363 51.5177868))",,,,Ibis Budget London Whitechapel,,London,100,Whitechapel Road,Accor Hotels,,https://secure.accorhotels.com/store/index.html#/en/hotel?hotelCode=8033,"[4112316527, 7701928960, 7701928961, 7701928962, 7701928963, 7701928964, 7701928965, 7701928966, 7701928971, 7701928970, 7701928968, 7701928967, 7701928969, 4112316520, 7701928975, 7701928973, 7701928972, 4112316526, 7701928959, 7701928958, 7701928957, 7701928956, 4112316527]",,E1 1JG,,,,,,hotel,9,,,947321,,,,,,,hotel,,,,,,,,,,,,,no,2,,,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1770958 51.5603001, -0.1770562 51.5601995, -0.1772403 51.5601715, -0.1772798 51.5602722, -0.1770958 51.5603001))",,,,Sandringham Hotel,,,3,Holford Road,,,,"[4271333490, 4271333491, 4271333492, 4271333493, 4271333490]",,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1482498 51.481886, -0.1482596 51.4814497, -0.1482679 51.4812131, -0.1480118 51.481204, -0.1479977 51.4816592, -0.1480116 51.4816617, -0.1480064 51.4818808, -0.1482498 51.481886))",,limited,,Pestana Chelsea Bridge Hotel & Spa,,London,354,Queenstown Road,,,https://www.pestana.com/uk/hotel/pestana-chelsea-bridge,"[4314324127, 7005045548, 4314324131, 4314324132, 7855537174, 7855537173, 4314324133, 4314324127]",,SW11 8AE,,,,,,hotel,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The bathroom in the accessible rooms are very low, not allowing a person in a wheelchair to get under.",,,,,,,,,,,,,,,
,"POLYGON ((-0.0689231 51.5153442, -0.0689001 51.5153185, -0.068782 51.5151542, -0.0687865 51.5151224, -0.0688241 51.5151079, -0.069178 51.5151251, -0.0691612 51.5152654, -0.0689231 51.5153442))",,,,,,London,41,White Church Lane,,,,"[2038007010, 2038008253, 4384413221, 7707005098, 4384413220, 2038007008, 2038007006, 2038007010]",,E1 7QR,,,,,,hotel,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.3035591 51.393718, -0.3035373 51.3937302, -0.3035333 51.3938059, -0.3033643 51.3938038, -0.3033529 51.3937946, -0.303322 51.3938055, -0.3032979 51.39379, -0.3032831 51.3937976, -0.3032322 51.3937503, -0.3032738 51.3937298, -0.3032503 51.3937139, -0.303438 51.3936239, -0.3034628 51.3936423, -0.3035406 51.3936026, -0.3035695 51.3936193, -0.3035591 51.393718))",,,,,,,,,,,,"[4395060516, 4395060518, 4395060527, 4395060525, 4395060523, 4395060526, 4395060522, 4395060524, 4395060520, 4395060517, 4395060514, 4395060506, 4395060508, 4395060502, 4395060505, 4395060516]",,,,,,,,hotel,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.3366762 51.4064428, -0.3367553 51.4062729, -0.3368613 51.4062905, -0.3368439 51.406329, -0.3369793 51.4063558, -0.3370274 51.4062397, -0.33668 51.4061729, -0.3365502 51.4064411, -0.3366762 51.4064428))",,,Bing;Local Knowledge,The Lion Gate Mews,,East Molesey,1,Hampton Court Road,,,http://www.theliongatemews.co.uk,"[4551363416, 4551363415, 4551363414, 4551363413, 4551363412, 4551363411, 4551363410, 4551363409, 4551363416]",Lion Gate,KT8 9DD,,,,,,hotel,2,,,,,wlan,no,,,,hotel,,,,,,,,,,info@theliongatemews.co.uk,,+44 20 8943 1389,outside,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.211572 51.4203109, -0.2114803 51.4202718, -0.2114234 51.4203237, -0.2113505 51.4202927, -0.2114118 51.4202368, -0.2112082 51.42015, -0.2110841 51.4202631, -0.2114523 51.4204201, -0.211572 51.4203109))",,,,Justin James Hotel,,London,43,Worple Road,,,,"[4560933730, 4560933729, 4560933728, 4560933727, 4560933726, 4560933725, 4560933724, 4560933723, 4560933730]",,SW19 4JZ,,,,,,hotel,,,,375827,,wlan,no,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,+44 20 8947 4271,http://www.justinjameshotel.com/,,,,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1054391 51.5050219, -0.1055261 51.5051615, -0.1046898 51.5051689, -0.1047027 51.5050212, -0.1054391 51.5050219))",,yes,,Novotel,,London,46,Blackfriars Road,,,,"[914314588, 914314520, 2431361343, 4697297511, 914314588]",,SE1 8NZ,,,Novotel,Q420545,en:Novotel,hotel,,,,,,,,,,,hotel,,,,,Q111368977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,نووتل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((0.009566 51.468283, 0.0095732 51.4682816, 0.0097224 51.4682426, 0.0097528 51.4682342, 0.0097597 51.4682446, 0.0098114 51.4682311, 0.0098828 51.4682499, 0.0098647 51.4682777, 0.0098719 51.4682874, 0.0099327 51.4683713, 0.0103555 51.4682599, 0.01038 51.4682653, 0.0104424 51.4683606, 0.0104337 51.4683745, 0.0103816 51.4683896, 0.0103744 51.468401, 0.0100714 51.468481, 0.0100419 51.4684775, 0.010004 51.4684875, 0.0099906 51.4684829, 0.0099738 51.4684869, 0.0099852 51.468506, 0.0100102 51.4685011, 0.0100724 51.4685934, 0.0100419 51.4686011, 0.0100499 51.4686149, 0.0101263 51.4685949, 0.0101189 51.4685857, 0.0101962 51.4685639, 0.0101909 51.4685538, 0.0103588 51.4685098, 0.0104144 51.4685941, 0.0103302 51.4686165, 0.0103171 51.4685967, 0.0102621 51.4686109, 0.0102675 51.4686214, 0.0102007 51.4686399, 0.010232 51.4686844, 0.0101823 51.4686974, 0.010189 51.4687083, 0.0101448 51.46872, 0.0101514 51.4687307, 0.0100422 51.4687579, 0.0100714 51.4688015, 0.0102456 51.4687541, 0.0102963 51.4688291, 0.010124 51.4688753, 0.0099828 51.4689102, 0.009566 51.468283))",,,,The Clarendon,,,,Montpelier Row,,,,"[10221191524, 224091494, 4699134304, 10221191527, 4699134305, 4699134306, 10221191529, 10221191528, 4699134307, 4699134308, 4699134309, 8255251371, 8255251372, 10221191531, 10221191532, 4699134310, 4699134311, 10221191536, 10221191535, 10221191534, 10221191533, 10221191541, 10221191542, 10221191537, 10221191538, 10221191539, 10221191540, 4699134312, 10221191544, 10221191545, 4699134313, 4699134314, 10221191549, 10221191547, 10221191546, 10221191548, 4699134315, 10221191553, 10221191550, 10221191552, 10221191551, 4699134316, 4699134317, 4699134318, 4699134319, 4699134320, 8255251343, 4699134321, 10221191524]",,,,,,,,hotel,,,,,,,,,,,hotel,,,,,Q26354037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.3000999 51.4508392, -0.2999506 51.4506914, -0.3003027 51.4505532, -0.3004576 51.4507066, -0.3003671 51.4507421, -0.3002627 51.4506387, -0.3001027 51.4507014, -0.3002016 51.4507993, -0.3000999 51.4508392))",,,,The Rose of York,,Richmond,,Petersham Road,,,,"[4709764526, 4709764527, 4709764528, 4709764529, 4709764530, 4709764531, 4709764532, 4709764533, 4709764526]",,TW10 6UY,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.2995198 51.4507228, -0.2992337 51.4508955, -0.2992687 51.450918, -0.2991648 51.4509808, -0.2993733 51.4511149, -0.2994836 51.4510482, -0.2995125 51.4510668, -0.2997985 51.4508941, -0.2997332 51.4508521, -0.2996995 51.4508725, -0.2995634 51.4507849, -0.2995908 51.4507684, -0.2995198 51.4507228))",,,,The Petersham Hotel,,Richmond,,Nightingale Lane,,,,"[270187353, 4709764534, 4709764535, 4709764536, 4709764537, 4709764538, 4709764539, 4709764540, 4709764541, 4709764542, 4709764543, 4709764544, 270187353]",,TW10 6UZ,,,,,,hotel,,,,353300,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHRS,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.2962949 51.4514606, -0.2965718 51.4512869, -0.2963834 51.4512057, -0.2964932 51.4511037, -0.2966087 51.4510425, -0.2970838 51.4513456, -0.2969832 51.4514189, -0.2968541 51.4513406, -0.296801 51.4513746, -0.2967452 51.4513408, -0.29642 51.45154, -0.2962949 51.4514606))",,,,Richmond Harbour Hotel,,Richmond,152-158,Richmond Hill,,,,"[4709764580, 302658215, 4709764581, 7611907011, 4709764582, 4709764583, 4709764584, 4709764585, 4709764586, 4709764587, 4709764588, 4709764580]",,TW10 6RP,,,,,,hotel,4,,,353299,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,FHRS Open Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
